ds,MSFT_real,MSFT_forecast,AAPL_real,AAPL_forecast,AMZN_real,AMZN_forecast,GOOGL_real,GOOGL_forecast,META_real,META_forecast
2023-03-31,285.4382019042969,289.34381548143534,163.8022918701172,159.55188708494396,103.29000091552734,109.84748699592406,103.61109161376953,106.81576641480795,211.50537109375,222.77038100694062
2023-04-03,284.3788757324219,290.15749308411824,165.06387329101562,160.46507261370616,102.41000366210938,110.59413085141534,104.24036407470703,107.28354526101853,212.63307189941406,224.23962332093708
2023-04-04,284.329345703125,289.7833756872788,164.5274658203125,160.44846479756566,103.94999694824219,110.31094919183037,104.5999526977539,107.39311065472673,214.2796630859375,225.20970281483184
2023-04-05,281.5175476074219,290.07185485007636,162.66989135742188,160.48054033269338,101.0999984741211,110.5105762262249,104.3502426147461,107.32700490892967,211.0463104248047,226.34686904303976
2023-04-06,288.70550537109375,289.74848553164907,163.56390380859375,160.2801622108097,102.05999755859375,110.58124793774765,108.29570770263672,107.26586277983628,215.65684509277344,226.98215285868133
2023-04-10,286.5174255371094,288.93507837013436,160.951416015625,160.79388464284852,102.16999816894531,111.2930592080184,106.31798553466797,107.27931236258081,214.30960083007812,229.0270707314666
2023-04-11,280.02252197265625,288.15824563592054,159.7296142578125,160.63034569120154,99.91999816894531,110.7674558015939,105.2292251586914,107.18731710105573,213.41146850585938,228.99951389886667
2023-04-12,280.67596435546875,288.133812007268,159.03427124023438,160.5709182549727,97.83000183105469,110.74407871692345,104.5200424194336,106.95140777302201,213.56114196777344,229.11841005807543
2023-04-13,286.96295166015625,287.5879670391789,164.45791625976562,160.33524024881024,102.4000015258789,110.60898631254047,107.30684661865234,106.75250588598725,219.8981170654297,228.72877298498673
2023-04-14,283.2996826171875,287.5445396670512,164.11029052734375,160.71991019678055,102.51000213623047,110.67950137184805,108.74519348144531,106.78909748074594,221.03578186035156,229.09305969192735
2023-04-17,285.9332580566406,286.7509633794067,164.130126953125,161.2399893456324,102.73999786376953,110.6216242772548,105.84851837158203,106.53050604238688,218.4111785888672,226.92222734586295
2023-04-18,285.5075378417969,286.16429722753196,165.36187744140625,161.28952557798925,102.30000305175781,109.94089954945251,104.38020324707031,106.45526034896106,217.4431610107422,226.07650614383658
2023-04-19,285.5867614746094,286.3966868648004,166.51414489746094,161.47874202901323,104.30000305175781,109.7668306646765,104.0605697631836,106.26439993918731,215.25765991210938,225.4676091784382
2023-04-20,283.2699890136719,286.16712154070683,165.54066467285156,161.52068881654398,103.80999755859375,109.48460182772196,105.16929626464844,106.13763533341955,212.63307189941406,224.45537846081413
2023-04-21,282.9234313964844,286.4917586962135,163.92152404785156,162.20491238018997,106.95999908447266,109.41126669153437,105.2891616821289,106.2721351257377,212.4534149169922,224.31564730389601
2023-04-24,278.9730224609375,287.0329163931971,164.22946166992188,163.68180650758333,106.20999908447266,108.94852340750771,105.84851837158203,106.44727466818783,212.35362243652344,221.44859806124362
2023-04-25,272.6861267089844,286.94126003750125,162.67984008789062,164.0455837852302,102.56999969482422,108.14720945976896,103.73094940185547,106.55792027219303,207.12437438964844,220.6655883176729
2023-04-26,292.4380798339844,287.68082626348513,162.66989135742188,164.53549550115847,104.9800033569336,107.86387976972648,103.59111022949219,106.57067031860944,208.97056579589844,220.27139713297416
2023-04-27,301.8041687011719,287.9634282226957,167.28895568847656,164.8587333458342,109.81999969482422,107.48688064487945,107.46665954589844,106.66329613977472,238.07078552246094,219.62420829555205
2023-04-28,304.2101135253906,288.7985544721315,168.55047607421875,165.79976015674913,105.44999694824219,107.33672247819733,107.2169418334961,107.03089414382103,239.82717895507812,219.99516041862762
2023-05-01,302.5268859863281,290.803417878569,168.46109008789062,167.86311427448317,102.05000305175781,106.78728779654234,107.07710266113281,107.96466582401897,242.68128967285156,219.44276995755558
2023-05-02,302.3783874511719,291.1611235824237,167.41806030273438,168.35379667372212,103.62999725341797,106.0164975985014,105.19926452636719,108.33956898448122,238.7493896484375,219.64812021252436
2023-05-03,301.37841796875,292.32449750148385,166.33534240722656,168.9353268721371,103.6500015258789,105.79834962856178,105.2891616821289,108.61769182717465,236.54391479492188,220.32272449792086
2023-05-04,302.3783874511719,293.00258103971623,164.68637084960938,168.9378312648478,104.0,105.52337354610356,104.56999206542969,108.97572911613688,233.04112243652344,220.8051352796417
2023-05-05,307.56640625,294.2027219050912,172.4146270751953,169.52572720795354,105.66000366210938,105.5135579236867,105.448974609375,109.603845730554,232.30262756347656,222.3455346045562
2023-05-08,305.5862121582031,297.1069158294741,172.34507751464844,170.3671744944784,105.83000183105469,105.6172144768107,107.64645385742188,111.25825372040228,232.79164123535156,225.32109063385428
2023-05-09,303.9526062011719,297.6973163234288,170.6265869140625,170.41035367514672,106.62000274658203,105.13752770014602,107.22693634033203,111.84250497462679,232.89141845703125,226.63599804556426
2023-05-10,309.20989990234375,299.0599474124704,172.4046630859375,170.5324402222528,110.19000244140625,105.24278768535369,111.62189483642578,112.30942025097674,232.60202026367188,228.3523348008848
2023-05-11,307.0317077636719,299.90440489363783,172.59341430664062,170.44685811013932,112.18000030517578,105.3194602087158,116.43636322021484,112.83095827052409,235.30645751953125,229.7900292479263
2023-05-12,305.9030456542969,301.2388389032335,171.6583709716797,170.9452939104759,110.26000213623047,105.68459821481372,117.37528991699219,113.59651865401246,233.33050537109375,232.18269366770238
